old_iri,new_iri,resource_type,module,migration_action,compatibility_notes
http://example.org/kg-mnp#alignmentStatus,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#alignmentStatus,AnnotationProperty,mnp-core,REWRITE,
http://example.org/kg-mnp#definingModule,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#definingModule,AnnotationProperty,mnp-core,REWRITE,
http://example.org/kg-mnp#replacementTerm,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#replacementTerm,AnnotationProperty,mnp-core,REWRITE,
http://example.org/kg-mnp#sourceStatus,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#sourceStatus,AnnotationProperty,mnp-core,REWRITE,
http://example.org/kg-mnp#APIResponse,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#APIResponse,Class,mnp-evidence-time,REWRITE,
http://example.org/kg-mnp#AssessmentDependency,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#AssessmentDependency,Class,mnp-compliance,DEPRECATE_AND_REWRITE_USAGE,Prefer https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#usesEvidence
http://example.org/kg-mnp#AuthorizationCode,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#AuthorizationCode,Class,mnp-process,REWRITE,
http://example.org/kg-mnp#AuthorizationCodeRequest,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#AuthorizationCodeRequest,Class,mnp-process,REWRITE,
http://example.org/kg-mnp#Bill,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#Bill,Class,mnp-account-billing,REWRITE,
http://example.org/kg-mnp#BillingAccount,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#BillingAccount,Class,mnp-account-billing,REWRITE,
http://example.org/kg-mnp#BillingSettlement,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#BillingSettlement,Class,mnp-account-billing,REWRITE,
http://example.org/kg-mnp#BlockingDecision,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#BlockingDecision,Class,mnp-compliance,REWRITE,
http://example.org/kg-mnp#BlockingReason,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#BlockingReason,Class,mnp-compliance,REWRITE,
http://example.org/kg-mnp#BroadbandService,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#BroadbandService,Class,mnp-service-contract,REWRITE,
http://example.org/kg-mnp#Charge,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#Charge,Class,mnp-account-billing,REWRITE,
http://example.org/kg-mnp#CodeListEntry,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#CodeListEntry,Class,mnp-code-list,REWRITE,
http://example.org/kg-mnp#CommitmentPeriod,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#CommitmentPeriod,Class,mnp-service-contract,REWRITE,
http://example.org/kg-mnp#ConditionalDecision,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#ConditionalDecision,Class,mnp-compliance,REWRITE,
http://example.org/kg-mnp#ConvergedService,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#ConvergedService,Class,mnp-service-contract,REWRITE,
http://example.org/kg-mnp#EligibilityAssessment,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#EligibilityAssessment,Class,mnp-compliance,REWRITE,
http://example.org/kg-mnp#EligibilityCheck,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#EligibilityCheck,Class,mnp-process,REWRITE,
http://example.org/kg-mnp#EligibilityDecision,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#EligibilityDecision,Class,mnp-compliance,REWRITE,
http://example.org/kg-mnp#EligibilityRule,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#EligibilityRule,Class,mnp-compliance,REWRITE,
http://example.org/kg-mnp#EligibleDecision,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#EligibleDecision,Class,mnp-compliance,REWRITE,
http://example.org/kg-mnp#EvaluationTime,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#EvaluationTime,Class,mnp-evidence-time,REWRITE,
http://example.org/kg-mnp#EvidenceRecord,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#EvidenceRecord,Class,mnp-evidence-time,REWRITE,
http://example.org/kg-mnp#EvidenceValidity,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#EvidenceValidity,Class,mnp-evidence-time,REWRITE,
http://example.org/kg-mnp#IdentityDocument,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#IdentityDocument,Class,mnp-identity,REWRITE,
http://example.org/kg-mnp#IdentityVerification,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#IdentityVerification,Class,mnp-identity,REWRITE,
http://example.org/kg-mnp#InformationSystem,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#InformationSystem,Class,mnp-evidence-time,REWRITE,
http://example.org/kg-mnp#MNPCase,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#MNPCase,Class,mnp-process,REWRITE,
http://example.org/kg-mnp#MNPCaseStatus,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#MNPCaseStatus,Class,mnp-process,REWRITE,
http://example.org/kg-mnp#MNPRequest,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#MNPRequest,Class,mnp-process,REWRITE,
http://example.org/kg-mnp#ManualReviewDecision,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#ManualReviewDecision,Class,mnp-compliance,REWRITE,
http://example.org/kg-mnp#MappingRecord,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#MappingRecord,Class,mnp-modeling-provenance,REWRITE,
http://example.org/kg-mnp#MappingRule,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#MappingRule,Class,mnp-modeling-provenance,REWRITE,
http://example.org/kg-mnp#MobilePlan,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#MobilePlan,Class,mnp-service-contract,REWRITE,
http://example.org/kg-mnp#ModelingAssertion,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#ModelingAssertion,Class,mnp-modeling-provenance,REWRITE,
http://example.org/kg-mnp#ModelingEvidence,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#ModelingEvidence,Class,mnp-modeling-provenance,REWRITE,
http://example.org/kg-mnp#NaturalPerson,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#NaturalPerson,Class,mnp-identity,REWRITE,
http://example.org/kg-mnp#ObservationTime,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#ObservationTime,Class,mnp-evidence-time,REWRITE,
http://example.org/kg-mnp#OrganisationSubscriber,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#OrganisationSubscriber,Class,mnp-identity,REWRITE,
http://example.org/kg-mnp#OutstandingBalanceObservation,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#OutstandingBalanceObservation,Class,mnp-account-billing,REWRITE,
http://example.org/kg-mnp#Payment,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#Payment,Class,mnp-account-billing,REWRITE,
http://example.org/kg-mnp#PaymentArrangement,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#PaymentArrangement,Class,mnp-account-billing,REWRITE,
http://example.org/kg-mnp#PhoneNumber,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#PhoneNumber,Class,mnp-identity,REWRITE,
http://example.org/kg-mnp#PhoneNumberOwnership,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#PhoneNumberOwnership,Class,mnp-identity,REWRITE,
http://example.org/kg-mnp#PortInSubmission,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#PortInSubmission,Class,mnp-process,REWRITE,
http://example.org/kg-mnp#PortingConfirmation,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#PortingConfirmation,Class,mnp-process,REWRITE,
http://example.org/kg-mnp#PortingExecution,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#PortingExecution,Class,mnp-process,REWRITE,
http://example.org/kg-mnp#ProcessEvent,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#ProcessEvent,Class,mnp-process,REWRITE,
http://example.org/kg-mnp#ProcessStep,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#ProcessStep,Class,mnp-process,REWRITE,
http://example.org/kg-mnp#RealNameRegistration,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#RealNameRegistration,Class,mnp-identity,REWRITE,
http://example.org/kg-mnp#ReassessmentMarker,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#ReassessmentMarker,Class,mnp-compliance,REWRITE,
http://example.org/kg-mnp#RecordedTime,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#RecordedTime,Class,mnp-evidence-time,REWRITE,
http://example.org/kg-mnp#RegulatoryClause,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#RegulatoryClause,Class,mnp-compliance,REWRITE,
http://example.org/kg-mnp#RegulatoryDocument,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#RegulatoryDocument,Class,mnp-compliance,REWRITE,
http://example.org/kg-mnp#RelationAssertion,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#RelationAssertion,Class,mnp-modeling-provenance,REWRITE,
http://example.org/kg-mnp#RemediationAction,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#RemediationAction,Class,mnp-compliance,REWRITE,
http://example.org/kg-mnp#ReviewDecision,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#ReviewDecision,Class,mnp-modeling-provenance,REWRITE,
http://example.org/kg-mnp#RuleVersion,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#RuleVersion,Class,mnp-compliance,REWRITE,
http://example.org/kg-mnp#ServiceContract,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#ServiceContract,Class,mnp-service-contract,REWRITE,
http://example.org/kg-mnp#ServiceSubscription,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#ServiceSubscription,Class,mnp-service-contract,REWRITE,
http://example.org/kg-mnp#SourceField,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#SourceField,Class,mnp-modeling-provenance,REWRITE,
http://example.org/kg-mnp#SourceRecord,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#SourceRecord,Class,mnp-modeling-provenance,REWRITE,
http://example.org/kg-mnp#Subscriber,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#Subscriber,Class,mnp-identity,REWRITE,
http://example.org/kg-mnp#SupplementaryCardService,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#SupplementaryCardService,Class,mnp-service-contract,REWRITE,
http://example.org/kg-mnp#SystemObservation,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#SystemObservation,Class,mnp-evidence-time,REWRITE,
http://example.org/kg-mnp#TelecomAccount,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#TelecomAccount,Class,mnp-account-billing,REWRITE,
http://example.org/kg-mnp#TelecomService,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#TelecomService,Class,mnp-service-contract,REWRITE,
http://example.org/kg-mnp#TerminationAgreement,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#TerminationAgreement,Class,mnp-service-contract,REWRITE,
http://example.org/kg-mnp#ValueAddedService,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#ValueAddedService,Class,mnp-service-contract,REWRITE,
http://example.org/kg-mnp#actionCode,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#actionCode,DatatypeProperty,mnp-compliance,REWRITE,
http://example.org/kg-mnp#actionDescription,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#actionDescription,DatatypeProperty,mnp-compliance,REWRITE,
http://example.org/kg-mnp#apiEndpointCode,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#apiEndpointCode,DatatypeProperty,mnp-evidence-time,REWRITE,
http://example.org/kg-mnp#arrangementStatusCode,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#arrangementStatusCode,DatatypeProperty,mnp-account-billing,REWRITE,
http://example.org/kg-mnp#assessmentIdentifier,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#assessmentIdentifier,DatatypeProperty,mnp-compliance,REWRITE,
http://example.org/kg-mnp#assessmentTime,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#assessmentTime,DatatypeProperty,mnp-compliance,REWRITE,
http://example.org/kg-mnp#authCodeIssuedAt,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#authCodeIssuedAt,DatatypeProperty,mnp-process,REWRITE,
http://example.org/kg-mnp#authCodeStatus,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#authCodeStatus,DatatypeProperty,mnp-process,REWRITE,
http://example.org/kg-mnp#authCodeValidUntil,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#authCodeValidUntil,DatatypeProperty,mnp-process,REWRITE,
http://example.org/kg-mnp#authCodeValueMasked,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#authCodeValueMasked,DatatypeProperty,mnp-process,REWRITE,
http://example.org/kg-mnp#billPeriodEnd,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#billPeriodEnd,DatatypeProperty,mnp-account-billing,REWRITE,
http://example.org/kg-mnp#billPeriodStart,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#billPeriodStart,DatatypeProperty,mnp-account-billing,REWRITE,
http://example.org/kg-mnp#caseIdentifier,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#caseIdentifier,DatatypeProperty,mnp-process,REWRITE,
http://example.org/kg-mnp#caseStatusCode,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#caseStatusCode,DatatypeProperty,mnp-process,REWRITE,
http://example.org/kg-mnp#chargeAmount,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#chargeAmount,DatatypeProperty,mnp-account-billing,REWRITE,
http://example.org/kg-mnp#clauseIdentifier,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#clauseIdentifier,DatatypeProperty,mnp-compliance,REWRITE,
http://example.org/kg-mnp#clauseText,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#clauseText,DatatypeProperty,mnp-compliance,REWRITE,
http://example.org/kg-mnp#codeLabelEn,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#codeLabelEn,DatatypeProperty,mnp-code-list,REWRITE,
http://example.org/kg-mnp#codeLabelZh,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#codeLabelZh,DatatypeProperty,mnp-code-list,REWRITE,
http://example.org/kg-mnp#codeListName,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#codeListName,DatatypeProperty,mnp-code-list,REWRITE,
http://example.org/kg-mnp#codeValue,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#codeValue,DatatypeProperty,mnp-code-list,REWRITE,
http://example.org/kg-mnp#commitmentEndTime,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#commitmentEndTime,DatatypeProperty,mnp-service-contract,REWRITE,
http://example.org/kg-mnp#commitmentStartTime,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#commitmentStartTime,DatatypeProperty,mnp-service-contract,REWRITE,
http://example.org/kg-mnp#contractEndTime,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#contractEndTime,DatatypeProperty,mnp-service-contract,REWRITE,
http://example.org/kg-mnp#contractStatusCode,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#contractStatusCode,DatatypeProperty,mnp-service-contract,REWRITE,
http://example.org/kg-mnp#currencyCode,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#currencyCode,DatatypeProperty,mnp-evidence-time,REWRITE,
http://example.org/kg-mnp#daysSinceLastPort,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#daysSinceLastPort,DatatypeProperty,mnp-evidence-time,REWRITE,
http://example.org/kg-mnp#decisionCode,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#decisionCode,DatatypeProperty,mnp-compliance,REWRITE,
http://example.org/kg-mnp#documentIdentifier,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#documentIdentifier,DatatypeProperty,mnp-compliance,REWRITE,
http://example.org/kg-mnp#documentNumberMasked,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#documentNumberMasked,DatatypeProperty,mnp-identity,REWRITE,
http://example.org/kg-mnp#documentTypeCode,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#documentTypeCode,DatatypeProperty,mnp-identity,REWRITE,
http://example.org/kg-mnp#effectiveFrom,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#effectiveFrom,DatatypeProperty,mnp-compliance,REWRITE,
http://example.org/kg-mnp#effectiveTo,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#effectiveTo,DatatypeProperty,mnp-compliance,REWRITE,
http://example.org/kg-mnp#eventTime,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#eventTime,DatatypeProperty,mnp-process,REWRITE,
http://example.org/kg-mnp#eventTypeCode,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#eventTypeCode,DatatypeProperty,mnp-process,REWRITE,
